customer_key,customer_id,first_name,last_name,phone,email,geography_key
1,1,Debra,Burks,No Phone,debra.burks@yahoo.com,118
2,2,Kasha,Todd,No Phone,kasha.todd@yahoo.com,23
3,3,Tameka,Fisher,No Phone,tameka.fisher@aol.com,135
4,4,Daryl,Spence,No Phone,daryl.spence@aol.com,177
5,5,Charolette,Rice,(916) 381-6003,charolette.rice@msn.com,147
6,6,Lyndsey,Bean,No Phone,lyndsey.bean@hotmail.com,49
7,7,Latasha,Hays,(716) 986-3359,latasha.hays@hotmail.com,22
8,8,Jacquline,Duncan,No Phone,jacquline.duncan@yahoo.com,79
9,9,Genoveva,Baldwin,No Phone,genoveva.baldwin@msn.com,132
10,10,Pamelia,Newman,No Phone,pamelia.newman@gmail.com,101
11,11,Deshawn,Mendoza,No Phone,deshawn.mendoza@yahoo.com,102
12,12,Robby,Sykes,(516) 583-7761,robby.sykes@hotmail.com,69
13,13,Lashawn,Ortiz,No Phone,lashawn.ortiz@msn.com,91
14,14,Garry,Espinoza,No Phone,garry.espinoza@hotmail.com,55
15,15,Linnie,Branch,No Phone,linnie.branch@gmail.com,127
16,16,Emmitt,Sanchez,(212) 945-8823,emmitt.sanchez@hotmail.com,110
17,17,Caren,Stephens,No Phone,caren.stephens@msn.com,160
18,18,Georgetta,Hardin,No Phone,georgetta.hardin@aol.com,24
19,19,Lizzette,Stein,No Phone,lizzette.stein@yahoo.com,118
20,20,Aleta,Shepard,No Phone,aleta.shepard@aol.com,171
21,21,Tobie,Little,No Phone,tobie.little@gmail.com,181
22,22,Adelle,Larsen,No Phone,adelle.larsen@gmail.com,42
23,23,Kaylee,English,No Phone,kaylee.english@msn.com,72
24,24,Corene,Wall,No Phone,corene.wall@msn.com,8
25,25,Regenia,Vaughan,No Phone,regenia.vaughan@gmail.com,94
26,26,Theo,Reese,(562) 215-2907,theo.reese@gmail.com,90
27,27,Santos,Valencia,No Phone,santos.valencia@yahoo.com,172
28,28,Jeanice,Frost,No Phone,jeanice.frost@hotmail.com,119
29,29,Syreeta,Hendricks,No Phone,syreeta.hendricks@msn.com,94
30,30,Jamaal,Albert,No Phone,jamaal.albert@gmail.com,175
31,31,Williemae,Holloway,(510) 246-8375,williemae.holloway@msn.com,114
32,32,Araceli,Golden,No Phone,araceli.golden@msn.com,61
33,33,Deloris,Burke,No Phone,deloris.burke@hotmail.com,123
34,34,Brittney,Woodward,No Phone,brittney.woodward@aol.com,42
35,35,Guillermina,Noble,No Phone,guillermina.noble@msn.com,12
36,36,Bernita,Mcdaniel,No Phone,bernita.mcdaniel@hotmail.com,88
37,37,Melia,Brady,No Phone,melia.brady@gmail.com,95
38,38,Zelma,Browning,No Phone,zelma.browning@aol.com,7
39,39,Janetta,Aguirre,(717) 670-2634,janetta.aguirre@aol.com,84
40,40,Ronna,Butler,No Phone,ronna.butler@gmail.com,46
41,41,Kathie,Freeman,No Phone,kathie.freeman@msn.com,134
42,42,Tangela,Quinn,No Phone,tangela.quinn@aol.com,138
43,43,Mozelle,Carter,(281) 489-9656,mozelle.carter@aol.com,74
44,44,Onita,Johns,No Phone,onita.johns@msn.com,45
45,45,Bennett,Armstrong,No Phone,bennett.armstrong@aol.com,18
46,46,Monika,Berg,No Phone,monika.berg@gmail.com,46
47,47,Bridgette,Guerra,No Phone,bridgette.guerra@hotmail.com,154
48,48,Cesar,Jackson,No Phone,cesar.jackson@gmail.com,88
49,49,Caroll,Hays,No Phone,caroll.hays@yahoo.com,49
50,50,Cleotilde,Booth,No Phone,cleotilde.booth@gmail.com,171
